Data;Fechamento;Abertura;Máxima;Mínima
11.05.2019;7190.3;6386.6;7373.8;6386.5
10.05.2019;6386.0;6194.3;6466.6;6157.8
09.05.2019;6191.5;5990.5;6206.0;5990.0
08.05.2019;5990.3;5849.4;6011.3;5799.1
07.05.2019;5849.5;5745.5;6019.8;5745.5
06.05.2019;5745.1;5775.1;5801.4;5630.5
05.05.2019;5774.9;5830.8;5838.2;5708.2
04.05.2019;5830.9;5768.0;5899.2;5605.0
03.05.2019;5766.8;5493.6;5844.2;5478.7
02.05.2019;5493.8;5384.6;5530.8;5370.0
01.05.2019;5384.2;5321.1;5396.3;5319.5
30.04.2019;5320.8;5235.4;5336.6;5195.9
29.04.2019;5235.0;5302.4;5322.9;5188.9
28.04.2019;5302.3;5265.7;5332.5;5234.4
27.04.2019;5265.9;5298.2;5318.1;5225.4
26.04.2019;5298.3;5209.2;5469.3;5159.3
25.04.2019;5209.1;5415.6;5528.2;5137.4
24.04.2019;5415.6;5511.2;5589.6;5346.8
23.04.2019;5511.6;5346.5;5594.4;5291.4
22.04.2019;5346.7;5248.2;5370.2;5170.2
21.04.2019;5243.5;5290.2;5308.2;5189.8
20.04.2019;5290.2;5241.0;5327.0;5240.2
19.04.2019;5241.0;5264.8;5282.4;5192.1
18.04.2019;5264.7;5208.3;5293.1;5205.0
17.04.2019;5208.3;5182.1;5230.9;5165.5
16.04.2019;5180.9;5031.4;5198.4;5014.4
15.04.2019;5032.3;5135.1;5168.0;4964.2
14.04.2019;5134.8;5052.0;5153.5;5010.7
13.04.2019;5051.8;5054.2;5093.4;5011.6
12.04.2019;5054.2;5022.7;5080.5;4889.2
11.04.2019;5022.6;5307.7;5337.0;4948.0
10.04.2019;5307.8;5158.4;5404.1;5142.9
09.04.2019;5158.4;5245.0;5245.9;5095.2
08.04.2019;5245.2;5173.5;5300.6;5060.5
07.04.2019;5173.6;5046.1;5219.5;5033.7
06.04.2019;5046.2;5010.0;5198.4;4947.9
05.04.2019;5010.2;4902.5;5029.4;4888.3
04.04.2019;4902.4;4968.7;5042.5;4789.2
03.04.2019;4968.7;4859.3;5278.4;4814.0
02.04.2019;4859.3;4145.1;4899.6;4143.5
01.04.2019;4145.1;4102.3;4159.1;4076.8
31.03.2019;4102.3;4111.8;4121.9;4082.2
30.03.2019;4111.8;4103.7;4138.1;4057.1
29.03.2019;4102.2;4025.7;4123.1;4022.6
28.03.2019;4025.6;4041.7;4041.7;4008.4
27.03.2019;4041.7;3942.8;4043.3;3936.2
26.03.2019;3942.8;3937.1;3950.7;3899.9
25.03.2019;3937.0;3994.8;4000.5;3897.9
24.03.2019;3994.7;4002.6;4005.7;3967.0
23.03.2019;4002.5;3990.4;4018.2;3980.8
22.03.2019;3990.4;3982.2;4005.7;3971.8
21.03.2019;3982.2;4041.2;4064.0;3923.8
20.03.2019;4041.2;4017.0;4050.0;3985.3
19.03.2019;4017.0;3990.2;4029.9;3972.4
18.03.2019;3990.2;3981.5;4032.3;3958.5
17.03.2019;3981.5;4006.4;4009.8;3956.3
16.03.2019;4006.4;3924.4;4050.6;3923.7
15.03.2019;3924.3;3879.0;3935.7;3874.8
14.03.2019;3879.0;3865.1;3914.7;3828.4
13.03.2019;3865.1;3885.9;3894.7;3847.4
12.03.2019;3886.0;3870.3;3900.1;3817.1
11.03.2019;3870.3;3915.2;3935.5;3842.4
10.03.2019;3915.2;3944.4;3944.5;3889.2
09.03.2019;3944.3;3865.6;3964.0;3859.7
08.03.2019;3865.9;3875.1;3929.0;3810.7
07.03.2019;3875.1;3863.1;3907.4;3847.9
06.03.2019;3863.0;3857.2;3887.3;3816.7
05.03.2019;3857.2;3715.9;3873.2;3705.7
04.03.2019;3715.9;3809.7;3828.4;3681.8
03.03.2019;3809.5;3823.2;3836.6;3789.7
02.03.2019;3823.1;3821.9;3843.2;3783.6
01.03.2019;3821.9;3816.7;3855.8;3816.4
28.02.2019;3816.6;3814.6;3883.7;3783.3
27.02.2019;3814.6;3810.3;3836.4;3701.9
26.02.2019;3810.3;3833.5;3845.5;3775.0
25.02.2019;3833.7;3755.7;3870.7;3753.8
24.02.2019;3755.2;4120.5;4194.2;3738.7
23.02.2019;4120.4;3965.2;4152.6;3939.4
22.02.2019;3965.2;3937.4;3983.1;3931.7
21.02.2019;3936.6;3972.0;4011.5;3909.2
20.02.2019;3972.4;3914.3;3983.6;3881.2
19.02.2019;3914.3;3896.4;3993.8;3863.7
18.02.2019;3896.0;3664.2;3903.7;3655.1
17.02.2019;3664.2;3616.8;3689.9;3607.9
16.02.2019;3616.8;3604.7;3641.9;3599.7
15.02.2019;3604.7;3592.6;3648.3;3581.4
14.02.2019;3592.6;3611.5;3624.5;3580.2
13.02.2019;3611.5;3632.0;3663.5;3599.2
12.02.2019;3632.0;3631.8;3656.4;3594.4
11.02.2019;3631.8;3678.8;3681.1;3623.8
10.02.2019;3679.0;3661.0;3680.6;3617.1
09.02.2019;3661.4;3661.6;3675.3;3633.2
08.02.2019;3661.7;3397.3;3721.1;3382.5
07.02.2019;3397.7;3404.9;3421.8;3390.3
06.02.2019;3404.3;3468.5;3478.0;3383.9
05.02.2019;3468.4;3463.0;3485.9;3450.3
04.02.2019;3462.8;3459.0;3479.7;3437.1
03.02.2019;3459.1;3502.3;3507.8;3431.3
02.02.2019;3502.5;3467.9;3514.5;3447.8
01.02.2019;3467.9;3437.7;3485.7;3415.3
31.01.2019;3437.2;3460.0;3484.7;3427.0
30.01.2019;3460.0;3414.6;3479.0;3394.2
29.01.2019;3414.8;3442.8;3450.1;3368.2
28.01.2019;3442.8;3555.8;3561.2;3395.7
27.01.2019;3555.6;3570.9;3583.2;3509.2
26.01.2019;3570.9;3572.0;3652.5;3556.1
25.01.2019;3572.0;3574.3;3582.6;3542.2
24.01.2019;3574.3;3561.4;3587.0;3539.7
23.01.2019;3561.5;3580.1;3608.3;3532.8
22.01.2019;3580.1;3536.9;3607.9;3465.2
21.01.2019;3536.7;3542.7;3561.4;3505.4
20.01.2019;3542.3;3676.2;3699.1;3503.9
19.01.2019;3677.8;3605.8;3715.2;3604.1
18.01.2019;3605.6;3626.3;3627.9;3575.7
17.01.2019;3626.4;3588.1;3636.7;3554.8
16.01.2019;3588.0;3570.6;3644.1;3561.4
15.01.2019;3571.3;3637.5;3660.8;3545.7
14.01.2019;3638.1;3490.4;3672.0;3490.4
13.01.2019;3490.2;3597.3;3617.6;3473.2
12.01.2019;3597.2;3616.6;3633.9;3561.3
11.01.2019;3616.5;3603.3;3655.7;3563.1
10.01.2019;3603.7;3978.9;4007.7;3562.1
09.01.2019;3978.0;3971.0;4014.2;3957.5
08.01.2019;3971.0;3985.8;4070.5;3943.1
07.01.2019;3985.9;4004.3;4028.0;3945.5
06.01.2019;4004.1;3785.7;4034.1;3758.5
05.01.2019;3785.4;3802.8;3846.7;3769.0
04.01.2019;3802.7;3780.5;3823.9;3720.0
03.01.2019;3780.1;3874.1;3875.8;3753.0
02.01.2019;3873.8;3809.7;3894.8;3768.1
01.01.2019;3809.4;3709.5;3814.3;3664.4
