Data;Fechamento;Abertura;Máxima;Mínima
27.05.2019;50.19;49.00;50.25;48.90
24.05.2019;48.31;48.64;49.43;48.31
23.05.2019;47.82;47.07;47.90;46.42
22.05.2019;47.46;47.78;48.69;47.37
21.05.2019;47.41;47.10;47.96;46.09
20.05.2019;46.75;47.62;47.74;46.63
17.05.2019;47.72;46.40;47.72;46.30
16.05.2019;46.40;48.55;48.93;45.82
15.05.2019;47.95;47.15;48.45;47.02
14.05.2019;47.59;48.18;48.35;47.35
13.05.2019;47.43;48.53;48.75;47.43
10.05.2019;49.46;48.30;49.80;48.06
09.05.2019;48.54;49.00;49.01;48.05
08.05.2019;49.00;49.82;50.14;48.94
07.05.2019;49.70;49.35;49.70;48.72
06.05.2019;49.66;49.60;49.75;49.09
03.05.2019;50.40;49.45;50.63;49.39
02.05.2019;48.94;49.28;49.28;48.72
30.04.2019;50.10;50.22;50.69;49.76
29.04.2019;50.25;50.94;51.06;50.12
26.04.2019;50.42;50.48;50.65;49.52
25.04.2019;50.33;50.23;50.43;49.38
24.04.2019;50.36;51.55;51.74;50.16
23.04.2019;51.92;51.59;51.92;51.28
22.04.2019;51.30;51.95;52.00;50.80
18.04.2019;52.58;52.20;52.97;52.01
17.04.2019;52.25;53.16;53.80;51.70
16.04.2019;53.10;51.27;53.16;50.84
15.04.2019;51.33;51.59;51.72;50.78
12.04.2019;51.48;52.09;52.72;51.31
11.04.2019;51.79;51.50;51.86;50.93
10.04.2019;51.76;52.74;52.74;51.52
09.04.2019;52.35;53.18;53.30;52.30
08.04.2019;53.39;52.50;53.39;52.36
05.04.2019;51.98;52.20;52.36;51.70
04.04.2019;52.16;52.00;52.46;51.62
03.04.2019;51.78;52.78;52.83;51.61
02.04.2019;51.63;53.05;53.30;51.63
01.04.2019;52.60;52.35;53.05;52.10
29.03.2019;50.93;49.95;51.60;49.95
28.03.2019;49.30;50.51;50.60;48.62
27.03.2019;49.60;50.05;50.74;49.31
26.03.2019;50.28;49.81;50.70;49.80
25.03.2019;49.55;49.60;50.31;49.16
22.03.2019;50.05;50.47;51.33;49.70
21.03.2019;50.89;50.53;51.47;50.51
20.03.2019;50.56;51.45;51.68;50.40
19.03.2019;51.90;50.70;52.39;50.59
18.03.2019;50.46;50.25;50.67;49.83
15.03.2019;50.55;50.80;51.24;50.40
14.03.2019;50.71;50.80;50.93;50.20
13.03.2019;50.70;49.94;51.00;49.70
12.03.2019;49.97;49.80;50.33;49.55
11.03.2019;49.88;48.90;49.95;48.61
08.03.2019;48.85;48.26;48.89;47.65
07.03.2019;48.86;47.83;48.96;47.72
06.03.2019;48.05;47.43;48.05;47.19
01.03.2019;46.74;47.29;47.50;44.55
28.02.2019;47.10;46.42;47.10;46.10
27.02.2019;46.83;47.25;47.25;46.34
26.02.2019;47.20;46.79;47.29;46.60
25.02.2019;47.12;47.35;47.75;46.40
22.02.2019;46.99;45.70;47.06;45.57
21.02.2019;45.38;45.84;46.09;45.13
20.02.2019;45.80;45.90;46.08;44.94
19.02.2019;45.49;45.50;45.94;45.23
18.02.2019;45.25;45.79;46.15;44.90
15.02.2019;45.88;45.40;46.02;45.19
14.02.2019;45.66;45.39;45.94;45.05
13.02.2019;45.49;44.31;45.99;44.30
12.02.2019;44.30;42.50;44.33;42.05
11.02.2019;42.02;43.86;44.05;41.89
08.02.2019;43.16;40.64;43.59;40.51
07.02.2019;41.59;42.15;42.79;41.21
06.02.2019;42.46;44.00;44.40;42.46
05.02.2019;44.64;44.45;45.21;43.81
04.02.2019;44.68;46.00;46.10;44.05
01.02.2019;46.25;45.72;46.33;45.58
31.01.2019;45.50;46.99;47.44;45.50
30.01.2019;46.60;46.25;46.80;44.98
29.01.2019;42.74;43.27;44.69;42.60
28.01.2019;42.38;45.00;48.00;42.36
24.01.2019;56.15;55.80;56.20;55.50
23.01.2019;55.65;55.46;55.90;55.33
22.01.2019;55.08;54.48;55.08;54.35
21.01.2019;55.28;54.85;55.35;54.39
18.01.2019;54.76;54.95;55.60;54.25
17.01.2019;54.23;52.44;54.71;52.27
16.01.2019;52.65;52.40;52.82;52.20
15.01.2019;52.35;52.85;53.20;51.87
14.01.2019;52.60;51.98;52.70;51.43
11.01.2019;52.38;53.26;53.46;52.38
10.01.2019;53.10;53.23;53.29;52.27
09.01.2019;53.69;53.16;54.06;52.83
08.01.2019;52.41;52.20;52.80;51.62
07.01.2019;51.91;52.87;53.65;51.72
04.01.2019;52.19;49.82;52.45;49.82
03.01.2019;49.00;48.48;50.94;48.40
02.01.2019;51.09;50.01;51.37;49.79
