Data;Fechamento;Abertura;Máxima;Mínima
26.05.2019;4.5079;4.5044;4.5103;4.5006
24.05.2019;4.5071;4.5189;4.5327;4.4938
23.05.2019;4.5171;4.5062;4.5316;4.4930
22.05.2019;4.5059;4.5101;4.5263;4.4735
21.05.2019;4.5077;4.5770;4.5910;4.5019
20.05.2019;4.5762;4.5750;4.6051;4.5514
19.05.2019;4.5759;4.5741;4.5784;4.5708
17.05.2019;4.5744;4.5222;4.5915;4.5160
16.05.2019;4.5221;4.4823;4.5298;4.4733
15.05.2019;4.4827;4.4579;4.5007;4.4456
14.05.2019;4.4585;4.4821;4.4923;4.4455
13.05.2019;4.4827;4.4487;4.5062;4.4416
12.05.2019;4.4463;4.4487;4.4499;4.4443
10.05.2019;4.4459;4.4269;4.4719;4.4112
09.05.2019;4.4267;4.3970;4.4725;4.3884
08.05.2019;4.3967;4.4429;4.4742;4.3917
07.05.2019;4.4440;4.4455;4.4752;4.4341
06.05.2019;4.4455;4.4116;4.4500;4.3947
05.05.2019;4.4050;4.4124;4.4124;4.3954
03.05.2019;4.4116;4.4302;4.4370;4.3955
02.05.2019;4.4336;4.3918;4.4432;4.3871
01.05.2019;4.3891;4.3982;4.4169;4.3860
30.04.2019;4.3978;4.4102;4.4405;4.3887
29.04.2019;4.4104;4.3835;4.4132;4.3743
28.04.2019;4.3806;4.3819;4.3855;4.3776
26.04.2019;4.3807;4.4002;4.4219;4.3727
25.04.2019;4.4018;4.4566;4.4595;4.3938
24.04.2019;4.4535;4.4018;4.4611;4.3882
23.04.2019;4.4028;4.4330;4.4403;4.3902
22.04.2019;4.4323;4.4164;4.4357;4.4037
21.04.2019;4.4161;4.4163;4.4184;4.4143
19.04.2019;4.4178;4.4112;4.4201;4.4104
18.04.2019;4.4108;4.4494;4.4543;4.3847
17.04.2019;4.4488;4.4047;4.4615;4.3924
16.04.2019;4.4041;4.3779;4.4131;4.3681
15.04.2019;4.3795;4.3858;4.4012;4.3618
14.04.2019;4.3875;4.3868;4.3896;4.3847
12.04.2019;4.3875;4.3416;4.4146;4.3415
11.04.2019;4.3414;4.3130;4.3498;4.3098
10.04.2019;4.3122;4.3366;4.3486;4.2975
09.04.2019;4.3369;4.3345;4.3594;4.3316
08.04.2019;4.3351;4.3444;4.3695;4.3265
07.04.2019;4.3440;4.3436;4.3460;4.3419
05.04.2019;4.3445;4.3304;4.3506;4.3167
04.04.2019;4.3301;4.3487;4.3587;4.3163
03.04.2019;4.3478;4.3199;4.3630;4.3065
02.04.2019;4.3181;4.3189;4.3422;4.3107
01.04.2019;4.3189;4.4005;4.4135;4.3156
31.03.2019;4.4030;4.4082;4.4109;4.4016
29.03.2019;4.4027;4.3799;4.4139;4.3434
28.03.2019;4.3804;4.4923;4.5094;4.3761
27.03.2019;4.4904;4.3690;4.5016;4.3609
26.03.2019;4.3681;4.3599;4.3808;4.3359
25.03.2019;4.3605;4.4230;4.4556;4.3477
24.03.2019;4.4139;4.4212;4.4212;4.4096
22.03.2019;4.4188;4.3145;4.4249;4.2821
21.03.2019;4.3141;4.3101;4.3572;4.2866
20.03.2019;4.3101;4.3014;4.3196;4.2759
19.03.2019;4.3012;4.2991;4.3144;4.2729
18.03.2019;4.2983;4.3170;4.3428;4.2884
17.03.2019;4.3214;4.3186;4.3243;4.3170
15.03.2019;4.3189;4.3445;4.3804;4.3087
14.03.2019;4.3442;4.3200;4.3576;4.3090
13.03.2019;4.3202;4.3032;4.3376;4.2949
12.03.2019;4.3034;4.3191;4.3345;4.2870
11.03.2019;4.3205;4.3478;4.3556;4.3072
10.03.2019;4.3435;4.3481;4.3481;4.3431
08.03.2019;4.3465;4.3327;4.3811;4.3232
07.03.2019;4.3324;4.3418;4.3765;4.3048
06.03.2019;4.3419;4.2710;4.3492;4.2608
05.03.2019;4.2694;4.2810;4.2863;4.2626
04.03.2019;4.2812;4.2948;4.3016;4.2699
03.03.2019;4.2937;4.2935;4.3015;4.2915
01.03.2019;4.2948;4.2700;4.3236;4.2585
28.02.2019;4.2657;4.2400;4.2836;4.2306
27.02.2019;4.2393;4.2698;4.2755;4.2299
26.02.2019;4.2729;4.2649;4.2816;4.2496
25.02.2019;4.2621;4.2499;4.2640;4.2226
24.02.2019;4.2504;4.2517;4.2533;4.2442
22.02.2019;4.2520;4.2733;4.2787;4.2275
21.02.2019;4.2732;4.2260;4.2796;4.2172
20.02.2019;4.2260;4.2226;4.2415;4.1852
19.02.2019;4.2223;4.2248;4.2285;4.1942
18.02.2019;4.2249;4.1778;4.2345;4.1763
17.02.2019;4.1799;4.1803;4.1828;4.1758
15.02.2019;4.1797;4.2055;4.2118;4.1724
14.02.2019;4.2057;4.2298;4.2843;4.1966
13.02.2019;4.2278;4.2014;4.2462;4.1958
12.02.2019;4.2016;4.2385;4.2434;4.1952
11.02.2019;4.2372;4.2243;4.2574;4.2120
10.02.2019;4.2263;4.2255;4.2281;4.2225
08.02.2019;4.2254;4.2151;4.2457;4.1999
07.02.2019;4.2172;4.2019;4.2446;4.1903
06.02.2019;4.2020;4.1884;4.2318;4.1749
05.02.2019;4.1890;4.1971;4.2054;4.1790
04.02.2019;4.1968;4.1927;4.2239;4.1827
03.02.2019;4.1922;4.1915;4.1960;4.1891
01.02.2019;4.1925;4.1710;4.2229;4.1658
31.01.2019;4.1713;4.2300;4.2437;4.1630
30.01.2019;4.2298;4.2530;4.2622;4.2219
29.01.2019;4.2530;4.2993;4.3080;4.2466
28.01.2019;4.2987;4.3000;4.3226;4.2817
27.01.2019;4.3038;4.3042;4.3042;4.2984
25.01.2019;4.3013;4.2658;4.3068;4.2624
24.01.2019;4.2661;4.2861;4.3045;4.2384
23.01.2019;4.2864;4.3339;4.3408;4.2754
22.01.2019;4.3337;4.2666;4.3383;4.2552
21.01.2019;4.2682;4.2656;4.2966;4.2622
20.01.2019;4.2640;4.2657;4.2797;4.2621
18.01.2019;4.2630;4.2759;4.2881;4.2472
17.01.2019;4.2735;4.2573;4.3027;4.2484
16.01.2019;4.2595;4.2434;4.2619;4.2233
15.01.2019;4.2425;4.2428;4.2595;4.2230
14.01.2019;4.2453;4.2583;4.2831;4.2293
13.01.2019;4.2533;4.2565;4.2576;4.2453
11.01.2019;4.2565;4.2671;4.2921;4.2473
10.01.2019;4.2671;4.2486;4.2870;4.2377
09.01.2019;4.2482;4.2491;4.2629;4.2173
08.01.2019;4.2488;4.2866;4.2907;4.2352
07.01.2019;4.2868;4.2321;4.2907;4.2226
06.01.2019;4.2383;4.2326;4.2394;4.2315
04.01.2019;4.2339;4.2797;4.3000;4.2287
03.01.2019;4.2801;4.2995;4.3239;4.2591
02.01.2019;4.2992;4.4490;4.4622;4.2906
01.01.2019;4.4494;4.4502;4.4825;4.4344
