Data;Fechamento;Abertura;Máxima;Mínima
02.05.2019;4.0063;4.0044;4.0637;3.9849
03.05.2019;3.7959;3.7959;3.9015;3.7858
04.05.2019;3.7189;3.7189;3.7467;3.6828
05.05.2019;3.8614;3.8365;3.8798;3.8202
06.05.2019;3.9074;3.9069;3.9381;3.8845
07.05.2019;3.8214;3.8214;3.8217;3.8153
08.05.2019;3.9806;3.9806;3.9806;3.8891
09.05.2019;3.8570;3.8570;3.9310;3.7725
10.05.2019;4.0104;4.0104;4.0104;3.8515
11.05.2019;3.8482;3.8519;3.9179;3.7654
12.05.2019;3.7899;3.7899;3.8870;3.7758
13.05.2019;3.7208;3.7208;3.7489;3.6842
14.05.2019;3.8203;3.8203;3.8222;3.8142
15.05.2019;3.9807;3.9807;3.9807;3.8886
16.05.2019;3.8570;3.8570;3.9309;3.7724
17.05.2019;4.0104;4.0104;4.0104;3.8515
18.05.2019;3.8482;3.8519;3.9179;3.7654
19.05.2019;3.7899;3.7899;3.8870;3.7758
20.05.2019;3.7208;3.7208;3.7489;3.6842
21.05.2019;3.8203;3.8203;3.8222;3.8142
22.05.2019;3.9807;3.9807;3.9807;3.8886
23.05.2019;3.8570;3.8570;3.9309;3.7724
24.05.2019;4.0104;4.0104;4.0104;3.8515
25.05.2019;3.8482;3.8519;3.9179;3.7654
26.05.2019;3.7899;3.7899;3.8870;3.7758
27.05.2019;3.7208;3.7208;3.7489;3.6842
28.05.2019;3.8203;3.8203;3.8222;3.8142
29.05.2019;3.9807;3.9807;3.9807;3.8886
30.05.2019;3.8570;3.8570;3.9309;3.7724
01.06.2019;4.0104;4.0104;4.0104;3.8515
02.06.2019;3.8482;3.8519;3.9179;3.7654
03.06.2019;3.7899;3.7899;3.8870;3.7758
04.06.2019;3.7208;3.7208;3.7489;3.6842
05.06.2019;3.8203;3.8203;3.8222;3.8142
06.06.2019;3.9807;3.9807;3.9807;3.8886
07.06.2019;3.8570;3.8570;3.9309;3.7724
08.06.2019;4.0104;4.0104;4.0104;3.8515
09.06.2019;3.8482;3.8519;3.9179;3.7654
10.06.2019;3.7899;3.7899;3.8870;3.7758
11.06.2019;3.7208;3.7208;3.7489;3.6842
12.06.2019;3.8203;3.8203;3.8222;3.8142
13.06.2019;3.9807;3.9807;3.9807;3.8886
14.06.2019;3.8570;3.8570;3.9309;3.7724
15.06.2019;4.0104;4.0104;4.0104;3.8515
16.06.2019;3.8482;3.8519;3.9179;3.7654
17.06.2019;3.7899;3.7899;3.8870;3.7758
18.06.2019;3.7208;3.7208;3.7489;3.6842
19.06.2019;3.8203;3.8203;3.8222;3.8142
20.06.2019;3.9807;3.9807;3.9807;3.8886
21.06.2019;3.8570;3.8570;3.9309;3.7724
