Data;Fechamento;Abertura;Máxima;Mínima
11.04.2019;5065.8;5315.5;5340.0;5001.1
10.04.2019;5311.7;5213.0;5487.4;5200.5
09.04.2019;5216.3;5312.4;5312.5;5173.5
08.04.2019;5312.5;5238.9;5361.7;5148.5
07.04.2019;5238.1;5091.1;5313.1;5075.0
06.04.2019;5090.5;5080.4;5280.0;4968.1
05.04.2019;5080.4;4939.3;5130.0;4930.1
04.04.2019;4938.9;4976.9;5099.9;4834.0
03.04.2019;4978.0;4929.3;5330.1;4849.1
02.04.2019;4927.1;4196.9;5079.4;4189.7
01.04.2019;4196.8;4167.5;4220.8;4127.2
31.03.2019;4167.6;4165.1;4181.4;4153.1
30.03.2019;4165.1;4179.1;4210.0;4117.2
29.03.2019;4179.0;4092.6;4188.0;4084.7
28.03.2019;4092.6;4102.7;4104.0;4066.4
27.03.2019;4102.5;3992.7;4109.6;3979.6
26.03.2019;3991.7;3970.0;3994.8;3951.0
25.03.2019;3970.0;4041.4;4049.9;3939.1
24.03.2019;4041.4;4063.0;4063.2;4011.5
23.03.2019;4063.2;4045.2;4076.3;4038.5
22.03.2019;4045.3;4044.8;4064.6;4035.1
21.03.2019;4044.8;4127.2;4138.7;4005.2
20.03.2019;4127.2;4104.6;4136.2;4073.9
19.03.2019;4104.7;4073.7;4118.0;4056.6
18.03.2019;4073.5;4069.0;4119.9;4035.6
17.03.2019;4068.9;4088.0;4088.3;4041.1
16.03.2019;4088.0;4003.1;4152.7;4003.1
15.03.2019;4003.1;3948.3;4011.0;3948.3
14.03.2019;3948.3;3946.2;4000.1;3882.8
13.03.2019;3947.9;3954.9;3972.1;3925.1
